MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation
SE1800011,Good,5,7.7,120,92,28,76.67,18.4,8,0,2,0,0,0,6,2,Low,0,False,82.0,Complete at least 8 more credits.
SE1800012,Good,3,7.0,120,61,59,50.83,20.33,39,1,2,0,0,0,5,5,Low,0,False,63.5,Complete at least 39 more credits. Retake failed courses as soon as possible.
SE1800013,Good,5,7.8,120,100,20,83.33,20.0,0,0,2,1,0,0,6,3,Low,0,False,80.0,Complete all prerequisite courses.
SE1800014,Recovery,6,6.63,120,94,26,78.33,15.67,6,1,2,0,0,0,7,4,Low,0,False,80.0,Complete at least 6 more credits. Retake failed courses as soon as possible.
SE1800015,AtRisk,8,5.53,120,104,16,86.67,13.0,0,3,6,3,1,1,8,16,High,1,False,40.0,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800016,Average,5,6.95,120,86,34,71.67,17.2,14,3,3,1,1,0,7,10,Medium,0,False,57.0,Complete at least 14 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800017,Good,3,7.5,120,59,61,49.17,19.67,41,0,2,0,0,0,5,4,Low,0,False,65.5,Complete at least 41 more credits.
SE1800018,Good,7,8.28,120,109,11,90.83,15.57,0,0,1,1,0,0,8,3,Low,0,False,86.5,Complete all prerequisite courses.
SE1800019,AtRisk,6,5.57,120,89,31,74.17,14.83,11,4,6,1,1,0,7,13,High,1,False,49.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800020,Good,4,8.29,120,68,52,56.67,17.0,32,0,0,1,0,0,5,5,Low,0,False,68.0,Complete at least 32 more credits. Complete all prerequisite courses.
SE1800021,Good,4,7.21,120,70,50,58.33,17.5,30,1,1,0,0,0,5,4,Low,0,False,70.0,Complete at least 30 more credits. Retake failed courses as soon as possible.
SE1800022,Excellent,8,9.75,120,115,5,95.83,14.38,0,0,0,0,0,0,8,0,Low,0,True,97.5,You are ready for OJT.
SE1800023,Good,4,7.09,120,74,46,61.67,18.5,26,0,1,1,0,0,6,5,Low,0,False,69.0,Complete at least 26 more credits. Complete all prerequisite courses.
SE1800024,Average,5,6.78,120,95,25,79.17,19.0,5,1,2,1,0,0,6,6,Medium,0,False,74.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800025,AtRisk,2,5.58,120,32,88,26.67,16.0,68,5,4,1,1,0,5,15,High,1,False,22.0,Complete at least 68 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800026,Average,5,6.23,120,83,37,69.17,16.6,17,3,2,2,0,0,7,9,Medium,0,False,56.5,Complete at least 17 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800027,Average,5,6.31,120,88,32,73.33,17.6,12,1,3,0,1,0,6,7,Medium,0,False,70.0,Complete at least 12 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800028,Average,3,6.31,120,57,63,47.5,19.0,43,1,1,1,0,0,5,8,Medium,0,False,57.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800029,Average,2,6.35,120,31,89,25.83,15.5,69,1,3,1,0,0,6,9,Medium,0,False,40.5,Complete at least 69 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800030,Average,8,6.65,120,108,12,90.0,13.5,0,3,3,2,0,0,8,8,Medium,0,False,67.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800031,Good,6,8.11,120,102,18,85.0,17.0,0,1,1,0,0,0,7,2,Low,0,True,86.0,Retake failed courses as soon as possible.
SE1800032,Average,3,6.9,120,45,75,37.5,15.0,55,1,4,1,0,0,6,9,Medium,0,False,45.5,Complete at least 55 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800033,AtRisk,5,5.26,120,82,38,68.33,16.4,18,5,6,3,1,0,6,17,High,1,False,31.0,Complete at least 18 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800034,Recovery,5,5.95,120,78,42,65.0,15.6,22,2,4,0,1,0,6,10,Medium,0,False,60.0,Complete at least 22 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800035,Good,6,8.19,120,100,20,83.33,16.67,0,1,0,0,0,0,7,1,Low,0,True,87.0,Retake failed courses as soon as possible.
SE1800036,LateStarter,5,7.13,120,85,35,70.83,17.0,15,2,3,1,0,0,7,6,Medium,0,False,64.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800037,AtRisk,4,5.66,120,57,63,47.5,14.25,43,4,4,3,1,1,5,18,High,1,False,17.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800038,Critical,3,4.72,120,35,85,29.17,11.67,65,7,7,2,2,1,5,21,High,1,False,0.0,Complete at least 65 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800039,Good,3,7.1,120,62,58,51.67,20.67,38,1,1,1,0,0,5,7,Medium,0,False,60.0,Complete at least 38 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800040,Critical,3,4.37,120,32,88,26.67,10.67,68,5,5,4,3,2,6,24,High,1,False,0.0,Complete at least 68 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800041,Average,8,6.11,120,117,3,97.5,14.62,0,1,3,0,1,0,8,6,Medium,0,True,84.5,Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800042,Average,6,6.68,120,98,22,81.67,16.33,2,2,4,0,1,0,6,7,Medium,0,False,70.0,Complete at least 2 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800043,AtRisk,3,5.31,120,42,78,35.0,14.0,58,4,6,3,2,0,5,18,High,1,False,9.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800044,Average,7,6.67,120,105,15,87.5,15.0,0,3,3,1,0,0,8,7,Medium,0,False,71.5,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800045,Good,4,7.86,120,78,42,65.0,19.5,22,1,1,1,0,0,6,6,Medium,0,False,68.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800046,AtRisk,7,5.73,120,94,26,78.33,13.43,6,4,5,1,1,1,8,15,High,1,False,46.0,Complete at least 6 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800047,Good,3,7.04,120,53,67,44.17,17.67,47,1,2,0,0,0,5,5,Low,0,False,59.5,Complete at least 47 more credits. Retake failed courses as soon as possible.
SE1800048,AtRisk,4,5.4,120,54,66,45.0,13.5,46,5,3,1,2,0,5,16,High,1,False,30.0,Complete at least 46 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800049,AtRisk,5,5.46,120,85,35,70.83,17.0,15,3,3,2,1,1,7,15,High,1,False,42.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800050,LateStarter,6,6.81,120,108,12,90.0,18.0,0,3,5,0,1,0,7,8,Medium,0,True,70.0,Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800051,AtRisk,6,5.27,120,98,22,81.67,16.33,2,4,4,2,2,0,7,14,High,1,False,47.0,Complete at least 2 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800052,Good,4,8.33,120,69,51,57.5,17.25,31,0,0,0,0,0,5,3,Low,0,False,74.5,Complete at least 31 more credits.
SE1800053,Excellent,4,9.31,120,78,42,65.0,19.5,22,0,0,0,0,0,6,2,Low,0,False,79.0,Complete at least 22 more credits.
SE1800054,Average,7,6.3,120,112,8,93.33,16.0,0,2,2,1,0,0,8,5,Low,0,False,80.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800055,Average,1,6.33,120,19,101,15.83,19.0,81,3,2,1,0,0,6,9,Medium,0,False,30.5,Complete at least 81 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800056,Average,5,6.08,120,93,27,77.5,18.6,7,1,4,0,0,0,7,5,Low,0,False,75.5,Complete at least 7 more credits. Retake failed courses as soon as possible.
SE1800057,Good,4,7.5,120,82,38,68.33,20.5,18,1,1,1,0,0,6,6,Medium,0,False,70.0,Complete at least 18 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800058,Excellent,4,10.0,120,77,43,64.17,19.25,23,0,0,0,0,0,5,2,Low,0,False,78.5,Complete at least 23 more credits.
SE1800059,AtRisk,5,5.24,120,83,37,69.17,16.6,17,5,3,3,1,1,7,18,High,1,False,29.5,Complete at least 17 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800060,AtRisk,3,5.6,120,47,73,39.17,15.67,53,5,3,1,2,0,5,16,High,1,False,26.5,Complete at least 53 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800061,Recovery,5,6.71,120,84,36,70.0,16.8,16,2,4,0,0,0,6,6,Medium,0,False,68.0,Complete at least 16 more credits. Retake failed courses as soon as possible.
SE1800062,Average,3,6.68,120,57,63,47.5,19.0,43,1,1,1,1,0,5,10,Medium,0,False,52.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800063,Average,4,6.84,120,75,45,62.5,18.75,25,1,4,1,1,0,6,10,Medium,0,False,55.5,Complete at least 25 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800064,Good,4,7.97,120,77,43,64.17,19.25,23,1,1,1,0,0,5,6,Medium,0,False,67.5,Complete at least 23 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800065,AtRisk,2,5.87,120,27,93,22.5,13.5,73,4,6,2,1,1,6,18,High,1,False,4.5,Complete at least 73 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800066,Good,3,8.19,120,55,65,45.83,18.33,45,1,2,1,0,0,5,7,Medium,0,False,54.5,Complete at least 45 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800067,Good,4,7.83,120,71,49,59.17,17.75,29,1,2,1,0,0,5,6,Medium,0,False,62.5,Complete at least 29 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800068,Good,4,7.36,120,78,42,65.0,19.5,22,1,1,1,0,0,6,6,Medium,0,False,68.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800069,AtRisk,3,5.25,120,37,83,30.83,12.33,63,5,4,2,1,0,5,16,High,1,False,18.5,Complete at least 63 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800070,Good,4,8.08,120,80,40,66.67,20.0,20,1,0,0,0,0,6,3,Low,0,False,77.0,Complete at least 20 more credits. Retake failed courses as soon as possible.
SE1800071,Good,1,7.8,120,20,100,16.67,20.0,80,0,0,1,0,0,5,5,Low,0,False,44.0,Complete at least 80 more credits. Complete all prerequisite courses.
SE1800072,Critical,5,4.2,120,69,51,57.5,13.8,31,7,6,2,3,2,6,23,High,1,False,0.0,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800073,AtRisk,4,5.07,120,51,69,42.5,12.75,49,3,4,3,2,0,5,17,High,1,False,20.5,Complete at least 49 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800074,Good,5,7.9,120,100,20,83.33,20.0,0,0,2,1,0,0,7,3,Low,0,False,80.0,Complete all prerequisite courses.
SE1800075,Critical,8,3.96,120,89,31,74.17,11.12,11,5,6,4,2,2,8,22,High,1,False,7.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800076,Average,3,6.17,120,46,74,38.33,15.33,54,1,1,1,1,0,6,10,Medium,0,False,47.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800077,Excellent,3,8.92,120,61,59,50.83,20.33,39,0,0,0,0,0,5,3,Low,0,False,70.5,Complete at least 39 more credits.
SE1800078,Average,5,6.9,120,84,36,70.0,16.8,16,1,1,0,1,0,7,7,Medium,0,False,72.0,Complete at least 16 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800079,Good,5,8.04,120,92,28,76.67,18.4,8,1,1,0,0,0,7,3,Low,0,False,81.0,Complete at least 8 more credits. Retake failed courses as soon as possible.
SE1800080,Average,1,6.23,120,20,100,16.67,20.0,80,3,1,2,1,0,5,12,High,1,False,22.0,Complete at least 80 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800081,Average,5,6.91,120,85,35,70.83,17.0,15,3,4,2,1,0,7,11,High,1,False,48.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800082,Good,4,8.0,120,81,39,67.5,20.25,19,0,1,1,0,0,6,5,Low,0,False,72.5,Complete at least 19 more credits. Complete all prerequisite courses.
SE1800083,AtRisk,5,5.45,120,78,42,65.0,15.6,22,4,5,1,2,0,7,15,High,1,False,41.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800084,Average,3,6.36,120,57,63,47.5,19.0,43,2,4,0,0,0,5,7,Medium,0,False,54.5,Complete at least 43 more credits. Retake failed courses as soon as possible.
SE1800085,Recovery,4,6.5,120,59,61,49.17,14.75,41,1,4,0,0,0,5,7,Medium,0,False,58.5,Complete at least 41 more credits. Retake failed courses as soon as possible.
SE1800086,Average,2,6.98,120,31,89,25.83,15.5,69,2,1,2,0,0,6,9,Medium,0,False,35.5,Complete at least 69 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800087,Average,3,6.83,120,52,68,43.33,17.33,48,1,4,2,0,0,5,10,Medium,0,False,43.0,Complete at least 48 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800088,Recovery,4,6.68,120,71,49,59.17,17.75,29,1,3,1,1,0,5,10,Medium,0,False,55.5,Complete at least 29 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800089,Good,3,7.87,120,60,60,50.0,20.0,40,1,0,1,0,0,6,6,Medium,0,False,61.0,Complete at least 40 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800090,Average,4,6.45,120,70,50,58.33,17.5,30,1,2,2,1,0,6,10,Medium,0,False,51.0,Complete at least 30 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800091,Excellent,5,9.56,120,102,18,85.0,20.4,0,0,0,0,0,0,7,0,Low,0,True,91.0,You are ready for OJT.
SE1800092,Critical,6,4.16,120,81,39,67.5,13.5,19,8,5,4,2,2,6,23,High,1,False,0.0,Complete at least 19 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800093,Excellent,6,8.9,120,114,6,95.0,19.0,0,0,0,0,0,0,7,0,Low,0,True,97.0,You are ready for OJT.
SE1800094,Critical,1,3.6,120,15,105,12.5,15.0,85,7,6,4,2,2,5,24,High,1,False,0.0,Complete at least 85 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800095,AtRisk,5,5.1,120,73,47,60.83,14.6,27,5,5,1,1,1,6,17,High,1,False,32.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800096,Good,4,7.22,120,76,44,63.33,19.0,24,1,2,0,0,0,5,4,Low,0,False,71.0,Complete at least 24 more credits. Retake failed courses as soon as possible.
SE1800097,Average,4,6.68,120,75,45,62.5,18.75,25,3,2,0,1,0,6,8,Medium,0,False,59.5,Complete at least 25 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800098,Good,1,8.2,120,20,100,16.67,20.0,80,0,0,1,0,0,6,5,Low,0,False,44.0,Complete at least 80 more credits. Complete all prerequisite courses.
SE1800099,Average,4,6.3,120,72,48,60.0,18.0,28,2,1,0,1,0,6,7,Medium,0,False,63.0,Complete at least 28 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800100,LateStarter,3,7.18,120,47,73,39.17,15.67,53,3,2,2,0,0,6,9,Medium,0,False,38.5,Complete at least 53 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800101,AtRisk,3,5.79,120,39,81,32.5,13.0,61,5,4,3,2,0,5,18,High,1,False,8.5,Complete at least 61 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800102,Recovery,5,6.11,120,85,35,70.83,17.0,15,1,4,1,0,0,7,7,Medium,0,False,65.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800103,Good,4,7.3,120,80,40,66.67,20.0,20,1,2,1,0,0,6,6,Medium,0,False,67.0,Complete at least 20 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800104,LateStarter,3,7.07,120,38,82,31.67,12.67,62,3,2,0,0,0,6,6,Medium,0,False,46.0,Complete at least 62 more credits. Retake failed courses as soon as possible.
SE1800105,Excellent,4,8.9,120,73,47,60.83,18.25,27,0,0,0,0,0,5,2,Low,0,False,76.5,Complete at least 27 more credits.
SE1800106,Average,4,6.61,120,70,50,58.33,17.5,30,3,2,2,0,0,6,9,Medium,0,False,50.0,Complete at least 30 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800107,Average,2,6.04,120,30,90,25.0,15.0,70,2,4,0,0,0,5,7,Medium,0,False,41.0,Complete at least 70 more credits. Retake failed courses as soon as possible.
SE1800108,Good,4,8.41,120,79,41,65.83,19.75,21,1,2,0,0,0,6,4,Low,0,False,72.5,Complete at least 21 more credits. Retake failed courses as soon as possible.
SE1800109,Average,7,6.28,120,111,9,92.5,15.86,0,1,4,1,0,0,8,6,Medium,0,False,78.5,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800110,Excellent,5,9.32,120,101,19,84.17,20.2,0,0,0,0,0,0,7,0,Low,0,True,90.5,You are ready for OJT.
SE1800111,Excellent,3,9.46,120,54,66,45.0,18.0,46,0,0,0,0,0,5,3,Low,0,False,67.0,Complete at least 46 more credits.
SE1800112,AtRisk,5,5.58,120,75,45,62.5,15.0,25,4,4,3,1,1,6,17,High,1,False,26.5,Complete at least 25 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800113,LateStarter,4,7.0,120,58,62,48.33,14.5,42,4,2,0,0,0,5,6,Medium,0,False,53.0,Complete at least 42 more credits. Retake failed courses as soon as possible.
SE1800114,Average,1,6.26,120,17,103,14.17,17.0,83,3,4,2,0,0,6,11,High,1,False,19.5,Complete at least 83 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800115,Average,4,6.59,120,74,46,61.67,18.5,26,3,2,2,0,0,6,9,Medium,0,False,52.0,Complete at least 26 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800116,Average,1,6.99,120,19,101,15.83,19.0,81,2,1,1,1,0,5,10,Medium,0,False,30.5,Complete at least 81 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800117,Good,2,7.19,120,43,77,35.83,21.5,57,1,1,1,0,0,5,7,Medium,0,False,50.5,Complete at least 57 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800118,AtRisk,2,5.65,120,36,84,30.0,18.0,64,5,4,2,2,0,6,17,High,1,False,13.0,Complete at least 64 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800119,Good,4,7.62,120,69,51,57.5,17.25,31,1,1,1,0,0,5,7,Medium,0,False,63.5,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800120,Average,4,6.09,120,62,58,51.67,15.5,38,1,4,0,1,0,5,9,Medium,0,False,55.0,Complete at least 38 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800121,Average,5,6.33,120,83,37,69.17,16.6,17,2,3,2,1,0,7,11,High,1,False,52.5,Complete at least 17 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800122,Average,4,6.57,120,66,54,55.0,16.5,34,1,4,0,0,0,6,7,Medium,0,False,62.0,Complete at least 34 more credits. Retake failed courses as soon as possible.
SE1800123,Good,3,7.34,120,56,64,46.67,18.67,44,0,2,1,0,0,6,6,Medium,0,False,58.0,Complete at least 44 more credits. Complete all prerequisite courses.
SE1800124,AtRisk,3,5.34,120,36,84,30.0,12.0,64,3,4,3,2,0,5,17,High,1,False,13.0,Complete at least 64 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800125,AtRisk,8,5.09,120,106,14,88.33,13.25,0,4,6,2,2,0,8,14,High,1,False,47.0,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800126,Good,5,8.16,120,97,23,80.83,19.4,3,0,0,0,0,0,6,1,Low,0,False,88.5,Complete at least 3 more credits.
SE1800127,Good,5,7.72,120,95,25,79.17,19.0,5,1,1,0,0,0,7,3,Low,0,False,82.5,Complete at least 5 more credits. Retake failed courses as soon as possible.
SE1800128,Good,5,7.88,120,96,24,80.0,19.2,4,1,0,0,0,0,6,2,Low,0,False,85.0,Complete at least 4 more credits. Retake failed courses as soon as possible.
SE1800129,Good,7,8.14,120,112,8,93.33,16.0,0,1,1,0,0,0,8,2,Low,0,True,91.0,Retake failed courses as soon as possible.
SE1800130,AtRisk,3,5.38,120,47,73,39.17,15.67,53,3,5,1,2,0,6,16,High,1,False,28.5,Complete at least 53 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800131,Excellent,7,9.79,120,118,2,98.33,16.86,0,0,0,0,0,0,8,0,Low,0,True,99.0,You are ready for OJT.
SE1800132,Excellent,3,9.7,120,63,57,52.5,21.0,37,0,0,0,0,0,5,3,Low,0,False,71.5,Complete at least 37 more credits.
SE1800133,Average,4,6.08,120,69,51,57.5,17.25,31,3,3,0,1,0,5,10,Medium,0,False,54.5,Complete at least 31 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800134,Average,2,6.5,120,42,78,35.0,21.0,58,2,3,2,0,0,5,10,Medium,0,False,37.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800135,Good,3,7.9,120,62,58,51.67,20.67,38,0,0,1,0,0,6,5,Low,0,False,65.0,Complete at least 38 more credits. Complete all prerequisite courses.
SE1800136,Critical,5,3.72,120,57,63,47.5,11.4,43,8,8,4,3,2,6,24,High,1,False,0.0,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800137,Good,2,7.69,120,34,86,28.33,17.0,66,0,1,1,0,0,6,6,Medium,0,False,49.0,Complete at least 66 more credits. Complete all prerequisite courses.
SE1800138,Average,5,6.78,120,81,39,67.5,16.2,19,2,2,1,1,0,6,9,Medium,0,False,59.5,Complete at least 19 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800139,Average,6,6.83,120,94,26,78.33,15.67,6,3,2,0,0,0,7,5,Low,0,False,74.0,Complete at least 6 more credits. Retake failed courses as soon as possible.
SE1800140,Average,5,6.36,120,89,31,74.17,17.8,11,2,4,1,0,0,6,7,Medium,0,False,64.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1800141,Good,5,7.58,120,92,28,76.67,18.4,8,0,1,0,0,0,7,2,Low,0,False,84.0,Complete at least 8 more credits.
SE1800142,LateStarter,5,6.59,120,80,40,66.67,16.0,20,3,5,2,1,0,6,13,High,1,False,44.0,Complete at least 20 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800143,Average,4,6.36,120,71,49,59.17,17.75,29,2,2,0,1,0,5,7,Medium,0,False,60.5,Complete at least 29 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1800144,Good,2,7.11,120,46,74,38.33,23.0,54,0,2,0,0,0,6,4,Low,0,False,59.0,Complete at least 54 more credits.
SE1800145,Good,3,8.03,120,59,61,49.17,19.67,41,0,2,1,0,0,6,6,Medium,0,False,59.5,Complete at least 41 more credits. Complete all prerequisite courses.
SE1800146,Average,3,6.44,120,49,71,40.83,16.33,51,3,4,0,0,0,6,8,Medium,0,False,47.5,Complete at least 51 more credits. Retake failed courses as soon as possible.
